path, id, serie, tilt, pan, label
../HeadPoseImageDatabase/training/02/2_90_0_0.jpg,2,1,FU,C,11
../HeadPoseImageDatabase/training/02/2_0_15_1.jpg,2,2,C,SL,8
../HeadPoseImageDatabase/training/02/2_-15_30_2.jpg,2,1,SD,SL,9
../HeadPoseImageDatabase/training/02/2_0_0_3.jpg,2,1,C,C,13
../HeadPoseImageDatabase/training/02/2_-15_-60_4.jpg,2,2,SD,FR,24
../HeadPoseImageDatabase/training/02/2_15_-75_5.jpg,2,2,SU,FR,22
../HeadPoseImageDatabase/training/02/2_15_-15_6.jpg,2,2,SU,SR,17
../HeadPoseImageDatabase/training/02/2_15_-45_7.jpg,2,1,SU,SR,17
../HeadPoseImageDatabase/training/02/2_30_60_8.jpg,2,1,SU,FL,2
../HeadPoseImageDatabase/training/02/2_30_-90_9.jpg,2,2,SU,FR,22
../HeadPoseImageDatabase/training/02/2_0_-75_10.jpg,2,2,C,FR,23
../HeadPoseImageDatabase/training/02/2_-30_15_11.jpg,2,2,SD,SL,9
../HeadPoseImageDatabase/training/02/2_15_90_12.jpg,2,1,SU,FL,2
../HeadPoseImageDatabase/training/02/2_15_-30_13.jpg,2,1,SU,SR,17
../HeadPoseImageDatabase/training/02/2_-15_90_14.jpg,2,1,SD,FL,4
../HeadPoseImageDatabase/training/02/2_0_-90_15.jpg,2,1,C,FR,23
../HeadPoseImageDatabase/training/02/2_-60_15_16.jpg,2,2,FD,SL,10
../HeadPoseImageDatabase/training/02/2_30_-15_17.jpg,2,1,SU,SR,17
../HeadPoseImageDatabase/training/02/2_15_45_18.jpg,2,2,SU,SL,7
../HeadPoseImageDatabase/training/02/2_-60_-75_19.jpg,2,2,FD,FR,25
../HeadPoseImageDatabase/training/02/2_-60_60_20.jpg,2,1,FD,FL,5
../HeadPoseImageDatabase/training/02/2_60_-15_21.jpg,2,2,FU,SR,16
../HeadPoseImageDatabase/training/02/2_30_30_22.jpg,2,1,SU,SL,7
../HeadPoseImageDatabase/training/02/2_-30_30_23.jpg,2,2,SD,SL,9
../HeadPoseImageDatabase/training/02/2_-60_-60_24.jpg,2,1,FD,FR,25
../HeadPoseImageDatabase/training/02/2_-30_-15_25.jpg,2,2,SD,SR,19
../HeadPoseImageDatabase/training/02/2_0_90_26.jpg,2,2,C,FL,3
../HeadPoseImageDatabase/training/02/2_60_75_27.jpg,2,1,FU,FL,1
../HeadPoseImageDatabase/training/02/2_-30_-45_28.jpg,2,1,SD,SR,19
../HeadPoseImageDatabase/training/02/2_-15_60_29.jpg,2,1,SD,FL,4
../HeadPoseImageDatabase/training/02/2_30_-60_30.jpg,2,2,SU,FR,22
../HeadPoseImageDatabase/training/02/2_-30_-75_31.jpg,2,2,SD,FR,24
../HeadPoseImageDatabase/training/02/2_15_15_32.jpg,2,2,SU,SL,7
../HeadPoseImageDatabase/training/02/2_60_60_33.jpg,2,1,FU,FL,1
